           ID                                    Description                                    Repo                Last active                Status         
 2380541575180358231     Fix issue #60: Play Sound for Find My Flipper                 joseguzman1337/Moment…  1h16m33s ago            Awaiting User F
 15302419341515092434    Fix issue #61: Dickert_MAHS not reading correctly             joseguzman1337/Moment…  1h15m28s ago            Awaiting User F
 1113382505613672602     Fix issue #62: FindMyFlipper battery management               joseguzman1337/Moment…  1h24m36s ago            Completed      
 2617809163312307151     Fix issue #63: SubGHZ : Io Homecontrol                        joseguzman1337/Moment…  1h14m33s ago            Completed      
 5069532277052628341     Fix issue #64: NFC: Desfire Poller furi_check failed          joseguzman1337/Moment…  1h33m24s ago            Completed      
 8585846717526929837     Fix issue #57: NFC I2C+ 2k broken                             joseguzman1337/Moment…  1h20m9s ago             Completed      
 15012097658772257993    Fix issue #58: Sub-GHz App freezes when I use Frequency Ana…  joseguzman1337/Moment…  1h24m2s ago             Completed      
 18219753261616307190    Fix issue #59: Flipper Crashing in BLESpam                    joseguzman1337/Moment…  1h31m38s ago            Awaiting User F
 5824493169281083657     Fix issue #60: Play Sound for Find My Flipper                 joseguzman1337/Moment…  1h26m7s ago             Completed      
 12750432201072506860    Fix issue #61: Dickert_MAHS not reading correctly             joseguzman1337/Moment…  1h7m44s ago             Awaiting User F
 15333776725667374482    Fix issue #62: FindMyFlipper battery management               joseguzman1337/Moment…  1h26m24s ago            Completed      
 13816040260134667207    Fix issue #63: SubGHZ : Io Homecontrol                        joseguzman1337/Moment…  1h19m5s ago             Completed      
 3016696941603703402     Fix issue #64: NFC: Desfire Poller furi_check failed          joseguzman1337/Moment…  1h34m56s ago            Completed      
 11691864866239551478    Fix issue #63: SubGHZ : Io HomecontrolFix issue #62: FindMy…  joseguzman1337/Moment…  1h18m14s ago            Awaiting User F
 2880630473308358069     Fix issue #63: SubGHZ : Io HomecontrolFix issue #62: FindMy…  joseguzman1337/Moment…  1h31m44s ago            Awaiting User F
 9698159397506899662     Create a Pull Request from dev to main with summary of rece…  joseguzman1337/Moment…  1h45m58s ago            Failed         
 14041055177104696080    auto-integrate + auto-test to pr1m3 cli as args, each one o…  0x0012637/pr1m3         3h30m38s ago            Completed      
 5019000517459011275     auto-integrate + auto-test to pr1m3 cli as args, each one o…  0x0012637/pr1m3         1 day ago               Completed      
 14098464065182000251    auto-integrate + auto-test to pr1m3 cli as args, each one o…  0x0012637/pr1m3         2 days ago              Completed      
 15462404217405264540    ## Task: Implement actual BIP-32 public child key derivatio…  0x0012637/pr1m3         2 days ago              Completed      
 16676498379528093047    ## Task: Implement proper BIP-39 mnemonic_to_seed**Details:…  0x0012637/pr1m3         2 days ago              Completed      
 7310002156550870932     ## Task: Implement actual check on microSD**Details:**- Fil…  0x0012637/pr1m3         2 days ago              Completed      
 3264394764222428548     ## Task: Risk warning for strip method**Details:**- File: c…  0x0012637/pr1m3         2 days ago              Completed      
 9119869676609461625     ## Task: Add header processing for Flipper**Details:**- Fil…  0x0012637/pr1m3         2 days ago              Completed      
 1035340438801049465     ## Task: Initialize core Flipper components**Details:**- Fi…  0x0012637/pr1m3         2 days ago              Completed      
 6085035432953531959     ## Task: Implement actual BTC address generation**Details:*…  0x0012637/pr1m3         2 days ago              Completed      
 5392686344707610280     ## Task: Rewrite task list to use database**Details:**- Fil…  0x0012637/pr1m3         2 days ago              Completed      
 9544618735782150331     ## Task: Implement wallet loading and decryption**Details:*…  0x0012637/pr1m3         2 days ago              Completed      
 9511842732203216875     ## Task: Implement wallet encryption and saving**Details:**…  0x0012637/pr1m3         2 days ago              Completed      
 956642440493014179      ## Task: Make UART pins configurable**Details:**- File: cyb…  0x0012637/pr1m3         2 days ago              Completed      
 10497953106563478579    ## Task: Allocate and initialize wallet_ctx**Details:**- Fi…  0x0012637/pr1m3         2 days ago              Completed      
 17788953369654632422    ## Task: Implement delay stub for testing**Details:**- File…  0x0012637/pr1m3         2 days ago              Completed      
 2413859780751404923     ## Task: Clean up type casting logic**Details:**- File: cyb…  0x0012637/pr1m3         2 days ago              Completed      
 7792952006979177873     ## Task: Add parsing for response in MockESP32**Details:**-…  0x0012637/pr1m3         2 days ago              Completed      
 1802863959349935175     auto-integrate + auto-test to pr1m3 cli as args, each one o…  0x0012637/pr1m3         3 days ago              Completed      
 6911565922883335924     auto-integrate + auto-test to pr1m3 cli as args, each one o…  0x0012637/pr1m3         4 days ago              Awaiting User F
 9243311045026598632     auto-integrate + auto-test to pr1m3 cli as args, each one o…  0x0012637/pr1m3         5 days ago              Awaiting User F
 10281620129618604696    ## Task: Improve JSON parsing in quick_reply**Details:**- F…  0x0012637/pr1m3         6 days ago              Completed      
 14772230210548313971    auto-integrate + auto-test to pr1m3 cli as args, each one o…  0x0012637/pr1m3         6 days ago              Completed      
 13818395017277061464    fix modern web ui                                             x31337/VetSys           6 days ago              Completed      
 8144101249940929072     add AI CryptoTrade Model AI/AGents/AGI7RAG/LLM´s to auto-ge…  x31337/xmm              142 days ago            Completed      
 15530874950926964253    replace all existent credentials in the code base by gcloud…  x31337/xfermm           142 days ago            Completed      
 3852363510371374243     replace all existent credentials in the code base by gcloud…  x31337/xfermm           142 days ago            Completed      
                                                                                                                                                      
